item,construction,condition,distance,critical_word,sentence,critical_region_surprisal,n_critical_tokens
5,NPZ,ambiguous,d1,appeared,After the new doctor left the operation appeared increasingly likely to succeed.,15.021220207214355,1
5,NPZ,ambiguous,d2,appeared,After the new doctor left the complex operation appeared increasingly likely to succeed.,12.261783599853516,1
5,NPZ,ambiguous,d3,appeared,After the new doctor left the complex surgical operation appeared increasingly likely to succeed.,12.478857040405273,1
5,NPZ,control,d1,appeared,"After the new doctor left, the operation appeared increasingly likely to succeed.",11.501709938049316,1
5,NPZ,control,d2,appeared,"After the new doctor left, the complex operation appeared increasingly likely to succeed.",11.567375183105469,1
5,NPZ,control,d3,appeared,"After the new doctor left, the complex surgical operation appeared increasingly likely to succeed.",11.324094772338867,1
6,NPZ,ambiguous,d1,gained,After the professor read the grant gained more attention due to her excellent description.,20.010574340820312,1
6,NPZ,ambiguous,d2,gained,After the professor read the large grant gained more attention due to her excellent description.,19.214357376098633,1
6,NPZ,ambiguous,d3,gained,After the professor read the large federal grant gained more attention due to her excellent description.,19.330543518066406,1
6,NPZ,control,d1,gained,"After the professor read, the grant gained more attention due to her excellent description.",14.417828559875488,1
6,NPZ,control,d2,gained,"After the professor read, the large grant gained more attention due to her excellent description.",14.618051528930664,1
6,NPZ,control,d3,gained,"After the professor read, the large federal grant gained more attention due to her excellent description.",15.554121971130371,1
7,NPZ,ambiguous,d1,stopped,After the technician called the service stopped working almost immediately to his surprise.,16.942033767700195,1
7,NPZ,ambiguous,d2,stopped,After the technician called the local service stopped working almost immediately to his surprise.,18.64649200439453,1
7,NPZ,ambiguous,d3,stopped,After the technician called the local delivery service stopped working almost immediately to his surprise.,19.09062957763672,1
7,NPZ,control,d1,stopped,"After the technician called, the service stopped working almost immediately to his surprise.",8.982865333557129,1
7,NPZ,control,d2,stopped,"After the technician called, the local service stopped working almost immediately to his surprise.",9.471235275268555,1
7,NPZ,control,d3,stopped,"After the technician called, the local delivery service stopped working almost immediately to his surprise.",7.681523323059082,1
8,NPZ,ambiguous,d1,needed,Because the mechanic stopped the truck needed several more hours before it could be fully repaired.,15.310302734375,1
8,NPZ,ambiguous,d2,needed,Because the mechanic stopped the old truck needed several more hours before it could be fully repaired.,14.58234977722168,1
8,NPZ,ambiguous,d3,needed,Because the mechanic stopped the old rusty truck needed several more hours before it could be fully repaired.,14.360074996948242,1
8,NPZ,control,d1,needed,"Because the mechanic stopped, the truck needed several more hours before it could be fully repaired.",10.376070022583008,1
8,NPZ,control,d2,needed,"Because the mechanic stopped, the old truck needed several more hours before it could be fully repaired.",9.397071838378906,1
8,NPZ,control,d3,needed,"Because the mechanic stopped, the old rusty truck needed several more hours before it could be fully repaired.",9.856673240661621,1
9,NPZ,ambiguous,d1,failed,After the guitarist began the song failed dramatically because he skipped the sound check.,19.21471405029297,1
9,NPZ,ambiguous,d2,failed,After the guitarist began the new song failed dramatically because he skipped the sound check.,19.136438369750977,1
9,NPZ,ambiguous,d3,failed,After the guitarist began the catchy new song failed dramatically because he skipped the sound check.,19.944738388061523,1
9,NPZ,control,d1,failed,"After the guitarist began, the song failed dramatically because he skipped the sound check.",11.79345703125,1
9,NPZ,control,d2,failed,"After the guitarist began, the new song failed dramatically because he skipped the sound check.",11.674379348754883,1
9,NPZ,control,d3,failed,"After the guitarist began, the catchy new song failed dramatically because he skipped the sound check.",12.83877182006836,1
10,NPZ,ambiguous,d1,remained,Although the player lost the bonus remained essentially the same as in the original contract.,15.913969993591309,1
10,NPZ,ambiguous,d2,remained,Although the player lost the large bonus remained essentially the same as in the original contract.,15.714981079101562,1
10,NPZ,ambiguous,d3,remained,Although the player lost the large annual bonus remained essentially the same as in the original contract.,17.245033264160156,1
10,NPZ,control,d1,remained,"Although the player lost, the bonus remained essentially the same as in the original contract.",6.114882946014404,1
10,NPZ,control,d2,remained,"Although the player lost, the large bonus remained essentially the same as in the original contract.",7.00953483581543,1
10,NPZ,control,d3,remained,"Although the player lost, the large annual bonus remained essentially the same as in the original contract.",8.12054443359375,1
11,NPZ,ambiguous,d1,prepared,Once the recent hire started the job prepared many students for careers in media.,13.738633155822754,1
11,NPZ,ambiguous,d2,prepared,Once the recent hire started the new job prepared many students for careers in media.,13.832864761352539,1
11,NPZ,ambiguous,d3,prepared,Once the recent hire started the demanding new job prepared many students for careers in media.,12.544413566589355,1
11,NPZ,control,d1,prepared,"Once the recent hire started, the job prepared many students for careers in media.",13.756448745727539,1
11,NPZ,control,d2,prepared,"Once the recent hire started, the new job prepared many students for careers in media.",13.862838745117188,1
11,NPZ,control,d3,prepared,"Once the recent hire started, the demanding new job prepared many students for careers in media.",12.478194236755371,1
12,NPZ,ambiguous,d1,seemed,While the assistant manager worked the training seemed unnecessarily demanding to him.,21.393177032470703,1
12,NPZ,ambiguous,d2,seemed,While the assistant manager worked the intensive training seemed unnecessarily demanding to him.,17.864774703979492,1
12,NPZ,ambiguous,d3,seemed,While the assistant manager worked the intensive mandatory training seemed unnecessarily demanding to him.,17.917455673217773,1
12,NPZ,control,d1,seemed,"While the assistant manager worked, the training seemed unnecessarily demanding to him.",11.172883987426758,1
12,NPZ,control,d2,seemed,"While the assistant manager worked, the intensive training seemed unnecessarily demanding to him.",9.149439811706543,1
12,NPZ,control,d3,seemed,"While the assistant manager worked, the intensive mandatory training seemed unnecessarily demanding to him.",9.96445369720459,1
13,NPZ,ambiguous,d1,provided,Although the mayor changed the document provided sufficient evidence for what he had promised.,14.00693416595459,1
13,NPZ,ambiguous,d2,provided,Although the mayor changed the official document provided sufficient evidence for what he had promised.,12.533466339111328,1
13,NPZ,ambiguous,d3,provided,Although the mayor changed the official legal document provided sufficient evidence for what he had promised.,12.134520530700684,1
13,NPZ,control,d1,provided,"Although the mayor changed, the document provided sufficient evidence for what he had promised.",8.282362937927246,1
13,NPZ,control,d2,provided,"Although the mayor changed, the official document provided sufficient evidence for what he had promised.",9.338532447814941,1
13,NPZ,control,d3,provided,"Although the mayor changed, the official legal document provided sufficient evidence for what he had promised.",9.400266647338867,1
14,NPZ,ambiguous,d1,created,After the basketball player signed the contract created another controversy in the NBA.,17.502721786499023,1
14,NPZ,ambiguous,d2,created,After the basketball player signed the lucrative contract created another controversy in the NBA.,16.938066482543945,1
14,NPZ,ambiguous,d3,created,After the basketball player signed the lucrative new contract created another controversy in the NBA.,16.872119903564453,1
14,NPZ,control,d1,created,"After the basketball player signed, the contract created another controversy in the NBA.",11.70044231414795,1
14,NPZ,control,d2,created,"After the basketball player signed, the lucrative contract created another controversy in the NBA.",10.840353965759277,1
14,NPZ,control,d3,created,"After the basketball player signed, the lucrative new contract created another controversy in the NBA.",9.649703025817871,1
15,NPZ,ambiguous,d1,required,After the engineer moved the equipment required constant supervision from senior technicians.,14.740063667297363,1
15,NPZ,ambiguous,d2,required,After the engineer moved the heavy equipment required constant supervision from senior technicians.,14.481432914733887,1
15,NPZ,ambiguous,d3,required,After the engineer moved the heavy specialized equipment required constant supervision from senior technicians.,11.745944023132324,1
15,NPZ,control,d1,required,"After the engineer moved, the equipment required constant supervision from senior technicians.",10.737340927124023,1
15,NPZ,control,d2,required,"After the engineer moved, the heavy equipment required constant supervision from senior technicians.",11.387473106384277,1
15,NPZ,control,d3,required,"After the engineer moved, the heavy specialized equipment required constant supervision from senior technicians.",8.877277374267578,1
16,NPZ,ambiguous,d1,remained,When the little girl attacked the lamb remained relatively calm despite the sudden assault.,17.840885162353516,1
16,NPZ,ambiguous,d2,remained,When the little girl attacked the young lamb remained relatively calm despite the sudden assault.,18.22710418701172,1
16,NPZ,ambiguous,d3,remained,When the little girl attacked the young timid lamb remained relatively calm despite the sudden assault.,18.27145004272461,1
16,NPZ,control,d1,remained,"When the little girl attacked, the lamb remained relatively calm despite the sudden assault.",9.807747840881348,1
16,NPZ,control,d2,remained,"When the little girl attacked, the young lamb remained relatively calm despite the sudden assault.",9.907371520996094,1
16,NPZ,control,d3,remained,"When the little girl attacked, the young timid lamb remained relatively calm despite the sudden assault.",10.367402076721191,1
17,NPZ,ambiguous,d1,demanded,Before the yoga instructor left the position demanded immense physical effort from everyone.,16.70293617248535,1
17,NPZ,ambiguous,d2,demanded,Before the yoga instructor left the difficult position demanded immense physical effort from everyone.,14.420265197753906,1
17,NPZ,ambiguous,d3,demanded,Before the yoga instructor left the difficult advanced position demanded immense physical effort from everyone.,14.431821823120117,1
17,NPZ,control,d1,demanded,"Before the yoga instructor left, the position demanded immense physical effort from everyone.",11.171295166015625,1
17,NPZ,control,d2,demanded,"Before the yoga instructor left, the difficult position demanded immense physical effort from everyone.",10.310587882995605,1
17,NPZ,control,d3,demanded,"Before the yoga instructor left, the difficult advanced position demanded immense physical effort from everyone.",10.791749954223633,1
18,NPZ,ambiguous,d1,received,While the governor read the contract received sweeping support from the audience at the rally.,14.493950843811035,1
18,NPZ,ambiguous,d2,received,While the governor read the detailed contract received sweeping support from the audience at the rally.,14.87773323059082,1
18,NPZ,ambiguous,d3,received,While the governor read the detailed new contract received sweeping support from the audience at the rally.,15.466504096984863,1
18,NPZ,control,d1,received,"While the governor read, the contract received sweeping support from the audience at the rally.",12.828429222106934,1
18,NPZ,control,d2,received,"While the governor read, the detailed contract received sweeping support from the audience at the rally.",11.98542308807373,1
18,NPZ,control,d3,received,"While the governor read, the detailed new contract received sweeping support from the audience at the rally.",11.716641426086426,1
19,NPZ,ambiguous,d1,continued,Before the patient called the treatment continued causing uncomfortable side effects like nausea.,16.37367820739746,1
19,NPZ,ambiguous,d2,continued,Before the patient called the new treatment continued causing uncomfortable side effects like nausea.,17.3220272064209,1
19,NPZ,ambiguous,d3,continued,Before the patient called the new experimental treatment continued causing uncomfortable side effects like nausea.,16.7764835357666,1
19,NPZ,control,d1,continued,"Before the patient called, the treatment continued causing uncomfortable side effects like nausea.",8.99825668334961,1
19,NPZ,control,d2,continued,"Before the patient called, the new treatment continued causing uncomfortable side effects like nausea.",10.93311595916748,1
19,NPZ,control,d3,continued,"Before the patient called, the new experimental treatment continued causing uncomfortable side effects like nausea.",10.237323760986328,1
20,NPZ,ambiguous,d1,started,Once the operator stopped the machine started working efficiently without any supervision.,12.95007038116455,1
20,NPZ,ambiguous,d2,started,Once the operator stopped the large machine started working efficiently without any supervision.,10.598974227905273,1
20,NPZ,ambiguous,d3,started,Once the operator stopped the large noisy machine started working efficiently without any supervision.,10.475933074951172,1
20,NPZ,control,d1,started,"Once the operator stopped, the machine started working efficiently without any supervision.",4.026397228240967,1
20,NPZ,control,d2,started,"Once the operator stopped, the large machine started working efficiently without any supervision.",4.632692337036133,1
20,NPZ,control,d3,started,"Once the operator stopped, the large noisy machine started working efficiently without any supervision.",4.004693031311035,1
21,NPZ,ambiguous,d1,achieved,Once the dancer began the ballet achieved incredible success for a show with a new performer.,22.146766662597656,1
21,NPZ,ambiguous,d2,achieved,Once the dancer began the new ballet achieved incredible success for a show with a new performer.,22.52913475036621,1
21,NPZ,ambiguous,d3,achieved,Once the dancer began the elegant new ballet achieved incredible success for a show with a new performer.,20.258544921875,1
21,NPZ,control,d1,achieved,"Once the dancer began, the ballet achieved incredible success for a show with a new performer.",16.22195053100586,1
21,NPZ,control,d2,achieved,"Once the dancer began, the new ballet achieved incredible success for a show with a new performer.",16.25868034362793,1
21,NPZ,control,d3,achieved,"Once the dancer began, the elegant new ballet achieved incredible success for a show with a new performer.",15.602811813354492,1
22,NPZ,ambiguous,d1,became,After the contestant lost the money became unavailable despite his previous three wins in a row.,15.420601844787598,1
22,NPZ,ambiguous,d2,became,After the contestant lost the extra money became unavailable despite his previous three wins in a row.,16.240943908691406,1
22,NPZ,ambiguous,d3,became,After the contestant lost the extra prize money became unavailable despite his previous three wins in a row.,15.601303100585938,1
22,NPZ,control,d1,became,"After the contestant lost, the money became unavailable despite his previous three wins in a row.",9.033002853393555,1
22,NPZ,control,d2,became,"After the contestant lost, the extra money became unavailable despite his previous three wins in a row.",8.509443283081055,1
22,NPZ,control,d3,became,"After the contestant lost, the extra prize money became unavailable despite his previous three wins in a row.",7.775717258453369,1
23,NPZ,ambiguous,d1,separated,Once the new chef started the restaurant separated mediocre cooks from gifted ones.,19.798721313476562,1
23,NPZ,ambiguous,d2,separated,Once the new chef started the new restaurant separated mediocre cooks from gifted ones.,19.202280044555664,1
23,NPZ,ambiguous,d3,separated,Once the new chef started the small new restaurant separated mediocre cooks from gifted ones.,17.809350967407227,1
23,NPZ,control,d1,separated,"Once the new chef started, the restaurant separated mediocre cooks from gifted ones.",14.914961814880371,1
23,NPZ,control,d2,separated,"Once the new chef started, the new restaurant separated mediocre cooks from gifted ones.",16.26213264465332,1
23,NPZ,control,d3,separated,"Once the new chef started, the small new restaurant separated mediocre cooks from gifted ones.",14.169760704040527,1
24,NPZ,ambiguous,d1,produced,When the apprentice baker worked the oven produced smaller cakes because he lacked experience.,17.15721893310547,1
24,NPZ,ambiguous,d2,produced,When the apprentice baker worked the large oven produced smaller cakes because he lacked experience.,14.139479637145996,1
24,NPZ,ambiguous,d3,produced,When the apprentice baker worked the large industrial oven produced smaller cakes because he lacked experience.,13.6348295211792,1
24,NPZ,control,d1,produced,"When the apprentice baker worked, the oven produced smaller cakes because he lacked experience.",9.294007301330566,1
24,NPZ,control,d2,produced,"When the apprentice baker worked, the large oven produced smaller cakes because he lacked experience.",7.9430251121521,1
24,NPZ,control,d3,produced,"When the apprentice baker worked, the large industrial oven produced smaller cakes because he lacked experience.",8.430930137634277,1
